,Имя покупателя,Дата выдачи,сумма займа,процент годовых,название банка
3901,Горелова Маргарита,2022-8-21,4100,6.0,Инвестбанк
3902,Малышев Артур,2021-9-13,26000,0.5,Стальстрой банк
3903,Комарова Аиша,2019-2-9,2200,8.0,Инвестбанк
3904,Евдокимова Амелия,2019-5-7,29000,0.5,Стальстрой банк
3905,Новиков Роберт,2018-9-28,39000,0.5,Стальстрой банк
3906,Ильинский Иван,2019-9-6,2200,8.0,РосТоргПром банк
3907,Некрасов Максим,2022-11-1,4900,6.0,Инвестбанк
3908,Белов Артём,2020-11-22,3300,7.0,Инвестбанк
3909,Павлова Нина,2021-8-19,3400,7.0,РосТоргПром банк
3910,Князева Анна,2022-6-2,10400,2.0,ВАШ БАНК
3911,Меркулова Марина,2021-11-7,34000,0.5,Стальстрой банк
3912,Иванов Илья,2018-11-15,3200,7.0,Инвестбанк
3913,Краснов Михаил,2018-10-20,2500,8.0,Инвестбанк
3914,Кузнецова Марина,2018-10-7,16200,1.0,ВАШ БАНК
3915,Белов Никита,2019-4-28,4700,6.0,Инвестбанк
3916,Филиппов Олег,2021-3-15,4900,6.0,Инвестбанк
3917,Краснов Антон,2019-6-3,27000,0.5,Стальстрой банк
3918,Иванова Дарья,2021-12-10,17600,1.0,ВАШ БАНК
3919,Матвеева Ксения,2020-4-4,27000,0.5,Стальстрой банк
3920,Михеева Екатерина,2020-11-12,25000,0.5,Стальстрой банк
3921,Поляков Павел,2019-4-28,800,10.0,Инвестбанк
3922,Белоусова Вероника,2018-9-17,47000,0.5,Стальстрой банк
3923,Зайцева Софья,2019-7-9,3300,7.0,РосТоргПром банк
3924,Львова Кристина,2022-6-22,700,10.0,Инвестбанк
3925,Носова Анна,2021-10-18,38000,0.5,Стальстрой банк
3926,Воронин Ибрагим,2018-2-22,900,10.0,Инвестбанк
3927,Матвеева Ксения,2021-8-13,3300,7.0,РосТоргПром банк
3928,Пугачева Юлия,2020-6-5,4000,7.0,РосТоргПром банк
3929,Головин Олег,2018-11-2,3800,7.0,РосТоргПром банк
3930,Воронин Матвей,2018-5-26,12300,2.0,ВАШ БАНК
3931,Сидорова Василиса,2018-7-4,2400,8.0,Инвестбанк
3932,Киселева Варвара,2022-12-2,2900,8.0,РосТоргПром банк
3933,Власов Владислав,2019-12-27,34000,0.5,Стальстрой банк
3934,Васильев Сергей,2021-4-21,1400,9.0,Инвестбанк
3935,Иванов Илья,2019-3-18,3600,7.0,РосТоргПром банк
3936,Русанова Майя,2021-2-16,31000,0.5,Стальстрой банк
3937,Орлов Семён,2018-3-9,10200,2.0,ВАШ БАНК
3938,Шевелева Василиса,2018-5-28,2300,8.0,РосТоргПром банк
3939,Розанова Ника,2018-4-19,2100,8.0,Инвестбанк
3940,Шувалова Елизавета,2021-7-9,16600,1.0,ВАШ БАНК
3941,Иванова Екатерина,2018-2-13,1900,9.0,Инвестбанк
3942,Жуков Арсений,2019-8-25,37000,0.5,Стальстрой банк
3943,Сидорова Василиса,2021-7-24,9700,3.0,ВАШ БАНК
3944,Васильев Максим,2018-9-20,41000,0.5,Стальстрой банк
3945,Попов Степан,2020-1-21,13100,2.0,ВАШ БАНК
3946,Киселева Варвара,2020-4-18,19400,1.0,ВАШ БАНК
3947,Белов Артём,2022-4-4,4800,6.0,Инвестбанк
3948,Михайлов Михаил,2019-7-1,11400,2.0,ВАШ БАНК
3949,Уткин Марк,2020-8-9,600,10.0,РосТоргПром банк
3950,Смирнова Ксения,2021-9-6,4300,6.0,Инвестбанк
3951,Акимов Артём,2020-6-20,17200,1.0,ВАШ БАНК
3952,Соловьева София,2020-3-9,37000,0.5,Стальстрой банк
3953,Антонова Василиса,2021-6-25,700,10.0,РосТоргПром банк
3954,Субботин Илья,2019-6-22,4800,6.0,РосТоргПром банк
3955,Морозов Семён,2019-8-26,4400,6.0,Инвестбанк
3956,Латышев Иван,2022-8-7,4700,6.0,РосТоргПром банк
3957,Соловьева Алиса,2019-4-23,26000,0.5,Стальстрой банк
3958,Винокурова Софья,2021-9-26,12300,2.0,ВАШ БАНК
3959,Егоров Иван,2019-11-19,39000,0.5,Стальстрой банк
3960,Иванов Алексей,2022-6-23,18000,1.0,ВАШ БАНК
3961,Иванов Илья,2021-2-21,13200,2.0,ВАШ БАНК
3962,Соколова Алиса,2022-11-7,900,10.0,Инвестбанк
3963,Власов Владислав,2022-9-14,9100,3.0,ВАШ БАНК
3964,Лосев Богдан,2020-3-16,26000,0.5,Стальстрой банк
3965,Зуев Евгений,2022-5-13,1300,9.0,Инвестбанк
3966,Смирнов Марк,2021-11-18,39000,0.5,Стальстрой банк
3967,Короткова Альбина,2018-11-18,47000,0.5,Стальстрой банк
3968,Копылова Валерия,2021-9-20,4400,6.0,Инвестбанк
3969,Жукова Ева,2020-8-12,2500,8.0,Инвестбанк
3970,Григорьев Ярослав,2019-5-20,3900,7.0,Инвестбанк
3971,Ковалев Михаил,2021-6-18,4100,6.0,Инвестбанк
3972,Мешкова Мария,2022-10-10,34000,0.5,Стальстрой банк
3973,Смирнов Максим,2018-6-24,31000,0.5,Стальстрой банк
3974,Петрова Александра,2021-3-19,1500,9.0,Инвестбанк
3975,Сидорова Полина,2021-4-28,39000,0.5,Стальстрой банк
3976,Жданов Андрей,2022-1-26,4400,6.0,Инвестбанк
3977,Новиков Фёдор,2020-9-16,2200,8.0,РосТоргПром банк
3978,Соколова Елизавета,2020-3-17,42000,0.5,Стальстрой банк
3979,Сомов Ярослав,2019-7-9,2600,8.0,Инвестбанк
3980,Иванов Даниил,2021-6-19,4100,6.0,Инвестбанк
3981,Некрасов Максим,2020-12-25,3200,7.0,Инвестбанк
3982,Спиридонов Георгий,2022-10-16,48000,0.5,Стальстрой банк
3983,Сидорова Полина,2019-2-1,15000,2.0,ВАШ БАНК
3984,Иванова Дарья,2022-4-18,48000,0.5,Стальстрой банк
3985,Соколова Вероника,2018-8-23,49000,0.5,Стальстрой банк
3986,Пономарев Всеволод,2021-3-7,2700,8.0,Инвестбанк
3987,Добрынин Демьян,2021-6-26,35000,0.5,Стальстрой банк
3988,Сергеев Георгий,2019-5-10,3700,7.0,РосТоргПром банк
3989,Яковлев Алексей,2022-4-12,36000,0.5,Стальстрой банк
3990,Поляков Артемий,2021-2-14,40000,0.5,Стальстрой банк
3991,Поляков Павел,2020-7-24,1100,9.0,Инвестбанк
3992,Антонова Василиса,2018-12-28,36000,0.5,Стальстрой банк
3993,Кулакова Марьям,2020-11-27,4400,6.0,Инвестбанк
3994,Матвеев Александр,2021-2-6,4700,6.0,Инвестбанк
3995,Морозов Арсений,2022-10-1,1900,9.0,РосТоргПром банк
3996,Румянцев Александр,2020-1-21,4400,6.0,Инвестбанк
3997,Крылова Виктория,2022-10-5,18500,1.0,ВАШ БАНК
3998,Поляков Артемий,2018-1-19,18700,1.0,ВАШ БАНК
3999,Жукова Ева,2020-9-23,42000,0.5,Стальстрой банк
4000,Шувалова Елизавета,2018-3-23,3200,7.0,РосТоргПром банк
4001,Кулакова Марьям,2019-10-7,15000,2.0,ВАШ БАНК
4002,Маркелова Софья,2021-10-7,40000,0.5,Стальстрой банк
4003,Савельева София,2021-3-10,4000,7.0,Инвестбанк
4004,Беляев Игорь,2022-3-8,27000,0.5,Стальстрой банк
4005,Сергеев Георгий,2021-5-7,31000,0.5,Стальстрой банк
4006,Богданов Давид,2019-11-12,17000,1.0,ВАШ БАНК
4007,Авдеева Василиса,2020-3-12,18900,1.0,ВАШ БАНК
4008,Сорокина Кира,2022-2-25,40000,0.5,Стальстрой банк
4009,Лосев Богдан,2022-1-1,3800,7.0,РосТоргПром банк
4010,Иванов Тимофей,2019-1-8,18100,1.0,ВАШ БАНК
4011,Крылова Виктория,2018-2-6,45000,0.5,Стальстрой банк
4012,Чернов Артемий,2019-11-16,12600,2.0,ВАШ БАНК
4013,Григорьев Ярослав,2018-7-11,4000,7.0,Инвестбанк
4014,Андрианова Вероника,2018-10-5,45000,0.5,Стальстрой банк
4015,Куликов Фёдор,2018-6-17,8100,3.0,ВАШ БАНК
4016,Сидорова Вероника,2018-5-3,2900,8.0,РосТоргПром банк
4017,Смирнова Полина,2019-10-21,1500,9.0,Инвестбанк
4018,Зотов Артемий,2019-6-4,3500,7.0,РосТоргПром банк
4019,Федоров Роман,2022-1-19,18600,1.0,ВАШ БАНК
4020,Никитин Елисей,2021-4-22,1900,9.0,РосТоргПром банк
4021,Гришина Светлана,2020-3-12,1500,9.0,Инвестбанк
4022,Синицына Татьяна,2022-2-14,26000,0.5,Стальстрой банк
4023,Смирнов Александр,2020-4-15,1300,9.0,Инвестбанк
4024,Степанов Леонид,2021-12-10,700,10.0,РосТоргПром банк
4025,Иванов Тимур,2021-10-3,15900,1.0,ВАШ БАНК
4026,Попов Тимофей,2019-11-2,8500,3.0,ВАШ БАНК
4027,Миронова Стефания,2022-1-26,12100,2.0,ВАШ БАНК
4028,Борисов Тимофей,2018-12-28,45000,0.5,Стальстрой банк
4029,Поляков Тимофей,2018-11-8,11100,2.0,ВАШ БАНК
4030,Шевелева Василиса,2018-2-2,2100,8.0,РосТоргПром банк
4031,Соколова Дарья,2020-6-7,3700,7.0,Инвестбанк
4032,Малышев Артур,2021-12-19,19200,1.0,ВАШ БАНК
4033,Князев Ярослав,2019-9-28,4500,6.0,РосТоргПром банк
4034,Смирнов Александр,2022-10-2,2200,8.0,Инвестбанк
4035,Федоров Роман,2021-4-1,32000,0.5,Стальстрой банк
4036,Ситников Матвей,2019-2-17,4200,6.0,Инвестбанк
4037,Никитин Георгий,2021-8-20,3400,7.0,РосТоргПром банк
4038,Волошина Анна,2022-11-28,1300,9.0,РосТоргПром банк
4039,Алексеев Григорий,2019-7-25,16800,1.0,ВАШ БАНК
4040,Гуляев Владимир,2019-3-23,2400,8.0,Инвестбанк
4041,Павлов Владимир,2018-8-27,39000,0.5,Стальстрой банк
4042,Киселева Варвара,2021-12-21,18400,1.0,ВАШ БАНК
4043,Горелова Маргарита,2022-6-19,12500,2.0,ВАШ БАНК
4044,Басов Иван,2018-1-15,18500,1.0,ВАШ БАНК
4045,Родионов Лев,2022-10-15,19500,1.0,ВАШ БАНК
4046,Краснов Антон,2022-10-9,42000,0.5,Стальстрой банк
4047,Волкова Милана,2021-8-7,32000,0.5,Стальстрой банк
4048,Григорьев Ярослав,2019-5-20,4500,6.0,Инвестбанк
4049,Малышев Артур,2022-10-12,3000,8.0,РосТоргПром банк
4050,Тихонова Юлия,2020-1-10,3700,7.0,РосТоргПром банк
4051,Медведева Виктория,2020-9-11,1500,9.0,РосТоргПром банк
4052,Шевелева Василиса,2019-2-26,43000,0.5,Стальстрой банк
4053,Серов Максим,2018-3-15,4400,6.0,РосТоргПром банк
4054,Головин Олег,2018-11-3,17400,1.0,ВАШ БАНК
4055,Логинов Дмитрий,2021-6-26,35000,0.5,Стальстрой банк
4056,Латышев Иван,2021-1-10,41000,0.5,Стальстрой банк
4057,Волков Владислав,2018-5-16,1100,9.0,Инвестбанк
4058,Иванов Тимофей,2020-11-25,2600,8.0,Инвестбанк
4059,Соколова Дарья,2018-1-8,8500,3.0,ВАШ БАНК
4060,Басов Иван,2021-8-9,49000,0.5,Стальстрой банк
4061,Смирнова Ксения,2019-2-25,1800,9.0,РосТоргПром банк
4062,Голубева Вероника,2021-12-11,31000,0.5,Стальстрой банк
4063,Васильев Максим,2019-8-24,28000,0.5,Стальстрой банк
4064,Семенов Артём,2022-3-8,2300,8.0,РосТоргПром банк
4065,Козлова Виктория,2018-5-15,700,10.0,Инвестбанк
4066,Попов Степан,2019-11-18,1900,9.0,Инвестбанк
4067,Журавлев Давид,2021-10-3,2200,8.0,РосТоргПром банк
4068,Булгаков Роман,2021-1-21,700,10.0,РосТоргПром банк
4069,Евдокимова Амелия,2018-1-25,10700,2.0,ВАШ БАНК
4070,Гончаров Иван,2018-5-2,4800,6.0,Инвестбанк
4071,Александрова Арина,2021-9-6,1600,9.0,РосТоргПром банк
4072,Иванов Алексей,2019-11-28,1500,9.0,РосТоргПром банк
4073,Поляков Артемий,2019-8-14,13700,2.0,ВАШ БАНК
4074,Гладкова Ксения,2018-7-14,25000,0.5,Стальстрой банк
4075,Белоусова Вероника,2020-1-7,1000,10.0,РосТоргПром банк
4076,Некрасова Вера,2018-8-19,25000,0.5,Стальстрой банк
4077,Иванова Анна,2020-10-2,48000,0.5,Стальстрой банк
4078,Григорьев Антон,2018-6-3,26000,0.5,Стальстрой банк
4079,Губанов Алексей,2022-10-2,28000,0.5,Стальстрой банк
4080,Евдокимова Амелия,2018-4-15,3400,7.0,Инвестбанк
4081,Козловский Фёдор,2019-7-2,36000,0.5,Стальстрой банк
4082,Васильева Полина,2020-8-4,9900,3.0,ВАШ БАНК
4083,Иванова Яна,2022-10-17,42000,0.5,Стальстрой банк
4084,Короткова Альбина,2018-8-25,3300,7.0,Инвестбанк
4085,Глухова Надежда,2019-4-1,15100,1.0,ВАШ БАНК
4086,Жданов Андрей,2022-10-19,18400,1.0,ВАШ БАНК
4087,Тимофеева Кира,2019-10-13,2600,8.0,РосТоргПром банк
4088,Пирогова София,2018-6-24,18000,1.0,ВАШ БАНК
4089,Карасев Кирилл,2020-9-8,30000,0.5,Стальстрой банк
4090,Киселева Мария,2022-10-27,1200,9.0,РосТоргПром банк
4091,Александрова Ангелина,2019-3-24,4000,7.0,Инвестбанк
4092,Соколова Дарья,2018-12-7,12300,2.0,ВАШ БАНК
4093,Алексеев Григорий,2019-11-14,26000,0.5,Стальстрой банк
4094,Латышев Иван,2018-5-5,17200,1.0,ВАШ БАНК
4095,Степанова Виктория,2021-11-9,4400,6.0,РосТоргПром банк
4096,Добрынин Демьян,2022-9-19,40000,0.5,Стальстрой банк
4097,Исаев Дмитрий,2020-1-21,19900,1.0,ВАШ БАНК
4098,Носова Анна,2020-9-6,4400,6.0,РосТоргПром банк
4099,Козлова Виктория,2018-1-9,10600,2.0,ВАШ БАНК
4100,Глухова Надежда,2019-11-13,16700,1.0,ВАШ БАНК
4101,Никитин Георгий,2022-6-19,3800,7.0,Инвестбанк
4102,Козлова Виктория,2018-9-9,38000,0.5,Стальстрой банк
4103,Сидоров Артём,2020-4-26,3600,7.0,Инвестбанк
4104,Серов Максим,2020-2-11,39000,0.5,Стальстрой банк
4105,Потапов Николай,2020-11-28,18100,1.0,ВАШ БАНК
4106,Жукова Милана,2018-8-26,2700,8.0,РосТоргПром банк
4107,Некрасов Максим,2021-4-18,42000,0.5,Стальстрой банк
4108,Львова Кристина,2022-11-25,3600,7.0,РосТоргПром банк
4109,Родионов Данила,2020-4-2,12000,2.0,ВАШ БАНК
4110,Мешкова Мария,2019-8-21,17200,1.0,ВАШ БАНК
4111,Сидоров Артём,2020-4-27,9300,3.0,ВАШ БАНК
4112,Васильева Полина,2021-12-20,4000,7.0,РосТоргПром банк
4113,Васильева Ксения,2022-8-26,1100,9.0,Инвестбанк
4114,Иванов Тимур,2022-10-1,3700,7.0,РосТоргПром банк
4115,Фролов Иван,2019-12-16,19600,1.0,ВАШ БАНК
4116,Гришина Светлана,2021-10-17,1900,9.0,Инвестбанк
4117,Пугачева Юлия,2020-8-16,15700,1.0,ВАШ БАНК
4118,Михайлов Илья,2019-6-5,3700,7.0,РосТоргПром банк
4119,Пирогова София,2022-9-23,2800,8.0,Инвестбанк
4120,Гуляев Владимир,2018-7-26,9000,3.0,ВАШ БАНК
4121,Фадеев Егор,2018-1-2,30000,0.5,Стальстрой банк
4122,Власов Владислав,2018-3-4,2000,9.0,Инвестбанк
4123,Соловьев Сергей,2019-11-24,17800,1.0,ВАШ БАНК
4124,Смирнова Олеся,2021-9-2,10400,2.0,ВАШ БАНК
4125,Куликов Фёдор,2018-5-11,16300,1.0,ВАШ БАНК
4126,Козлова Дарина,2018-9-26,29000,0.5,Стальстрой банк
4127,Савельева Мадина,2020-3-20,43000,0.5,Стальстрой банк
4128,Чернышева Таисия,2022-10-28,9100,3.0,ВАШ БАНК
4129,Пономарев Всеволод,2018-4-13,15200,1.0,ВАШ БАНК
4130,Ситников Матвей,2019-7-28,10600,2.0,ВАШ БАНК
4131,Некрасов Максим,2020-6-1,43000,0.5,Стальстрой банк
4132,Крылова Виктория,2018-5-6,19200,1.0,ВАШ БАНК
4133,Кириллов Тимофей,2022-10-3,700,10.0,Инвестбанк
4134,Субботин Илья,2022-5-11,1000,10.0,Инвестбанк
4135,Поляков Владимир,2021-11-4,4400,6.0,Инвестбанк
4136,Акимов Артём,2021-11-25,3700,7.0,РосТоргПром банк
4137,Степанова Виктория,2019-8-8,4500,6.0,Инвестбанк
4138,Сидоров Ярослав,2020-8-14,1000,10.0,РосТоргПром банк
4139,Прохорова Мария,2021-12-4,1400,9.0,РосТоргПром банк
4140,Зуев Евгений,2018-1-7,9500,3.0,ВАШ БАНК
4141,Гусева София,2022-8-4,3400,7.0,РосТоргПром банк
4142,Поляков Всеволод,2020-12-1,18500,1.0,ВАШ БАНК
4143,Михайлов Илья,2018-8-5,11100,2.0,ВАШ БАНК
4144,Волошина Анна,2021-3-11,45000,0.5,Стальстрой банк
4145,Козловский Фёдор,2022-9-7,47000,0.5,Стальстрой банк
4146,Иванов Алексей,2019-1-20,4500,6.0,РосТоргПром банк
4147,Малахов Тимофей,2021-1-17,700,10.0,Инвестбанк
4148,Александрова Арина,2022-9-25,1900,9.0,Инвестбанк
4149,Матвеева София,2020-8-8,13600,2.0,ВАШ БАНК
4150,Михайлов Михаил,2022-10-17,15400,1.0,ВАШ БАНК
4151,Белов Никита,2021-9-28,32000,0.5,Стальстрой банк
4152,Шишкина Алёна,2019-1-12,28000,0.5,Стальстрой банк
4153,Соколов Илья,2022-6-20,3100,7.0,РосТоргПром банк
4154,Елисеев Артём,2022-10-2,2400,8.0,РосТоргПром банк
4155,Романова Мира,2022-4-7,11300,2.0,ВАШ БАНК
4156,Морозов Семён,2021-3-3,33000,0.5,Стальстрой банк
4157,Егорова София,2021-7-8,1900,9.0,РосТоргПром банк
4158,Короткова Альбина,2021-9-11,9600,3.0,ВАШ БАНК
4159,Ананьев Лев,2021-6-11,9200,3.0,ВАШ БАНК
4160,Булгаков Роман,2021-8-3,4100,6.0,РосТоргПром банк
4161,Зуев Евгений,2022-3-9,13500,2.0,ВАШ БАНК
4162,Алексеев Григорий,2018-10-23,1200,9.0,РосТоргПром банк
4163,Поляков Владимир,2020-10-8,2600,8.0,РосТоргПром банк
4164,Губанов Алексей,2019-9-11,28000,0.5,Стальстрой банк
4165,Игнатьев Иван,2019-12-19,2900,8.0,Инвестбанк
4166,Малышев Артур,2020-7-20,9300,3.0,ВАШ БАНК
4167,Миронова Стефания,2021-2-15,4000,7.0,РосТоргПром банк
4168,Краснов Антон,2022-3-23,18100,1.0,ВАШ БАНК
4169,Смирнова Валерия,2021-9-6,39000,0.5,Стальстрой банк
4170,Трифонова Виктория,2019-10-8,38000,0.5,Стальстрой банк
4171,Головин Олег,2019-3-7,16300,1.0,ВАШ БАНК
4172,Некрасов Максим,2020-8-25,10400,2.0,ВАШ БАНК
4173,Куприянова Василиса,2019-10-4,27000,0.5,Стальстрой банк
4174,Агафонов Ярослав,2020-7-2,3000,8.0,Инвестбанк
4175,Смирнов Александр,2021-5-3,1300,9.0,РосТоргПром банк
4176,Ларионова Стефания,2022-6-1,8000,3.0,ВАШ БАНК
4177,Юдин Михаил,2022-8-7,42000,0.5,Стальстрой банк
4178,Михайлов Михаил,2019-10-17,1600,9.0,Инвестбанк
4179,Васильева Полина,2019-2-7,43000,0.5,Стальстрой банк
4180,Фролов Иван,2019-9-5,12600,2.0,ВАШ БАНК
4181,Белоусова Вероника,2018-1-28,3000,8.0,Инвестбанк
4182,Белоусова Вероника,2018-5-5,27000,0.5,Стальстрой банк
4183,Жукова Екатерина,2021-1-4,2800,8.0,Инвестбанк
4184,Михайлов Михаил,2018-2-16,3500,7.0,РосТоргПром банк
4185,Киселева Мария,2022-10-28,44000,0.5,Стальстрой банк
4186,Голубева Вероника,2021-11-2,10100,2.0,ВАШ БАНК
4187,Родионов Данила,2022-2-15,3600,7.0,РосТоргПром банк
4188,Авдеева Василиса,2018-5-2,500,10.0,РосТоргПром банк
4189,Губанов Алексей,2021-2-16,3400,7.0,РосТоргПром банк
4190,Ковалев Иван,2019-3-1,37000,0.5,Стальстрой банк
4191,Муратова Дарья,2019-7-22,800,10.0,Инвестбанк
4192,Сидоров Артём,2022-10-27,9700,3.0,ВАШ БАНК
4193,Туманов Владимир,2021-11-16,2800,8.0,Инвестбанк
4194,Васильева Полина,2018-3-26,9700,3.0,ВАШ БАНК
4195,Сергеев Георгий,2018-5-21,600,10.0,РосТоргПром банк
4196,Алексеев Григорий,2018-10-20,1600,9.0,РосТоргПром банк
4197,Кулакова Марьям,2021-1-1,1200,9.0,Инвестбанк
4198,Матвеев Александр,2022-6-12,1800,9.0,Инвестбанк
4199,Князев Ярослав,2022-11-14,36000,0.5,Стальстрой банк
4200,Смирнова Олеся,2021-9-11,40000,0.5,Стальстрой банк
4201,Любимова Полина,2020-8-21,11600,2.0,ВАШ БАНК
4202,Новикова Дарья,2021-1-20,36000,0.5,Стальстрой банк
4203,Романова Евгения,2018-3-15,14600,2.0,ВАШ БАНК
4204,Давыдова София,2021-7-19,42000,0.5,Стальстрой банк
4205,Сидорова Ксения,2019-4-9,4000,7.0,РосТоргПром банк
4206,Савельева Мадина,2018-12-2,37000,0.5,Стальстрой банк
4207,Васильева Ксения,2020-5-17,4700,6.0,РосТоргПром банк
4208,Васильев Лев,2020-9-13,4500,6.0,РосТоргПром банк
4209,Морозова Анна,2019-3-1,4100,6.0,Инвестбанк
4210,Медведев Мирон,2021-7-6,43000,0.5,Стальстрой банк
4211,Дементьева Дарья,2018-9-24,2200,8.0,РосТоргПром банк
4212,Воронин Ибрагим,2019-3-21,30000,0.5,Стальстрой банк
4213,Кузин Иван,2022-6-18,49000,0.5,Стальстрой банк
4214,Родионов Мирослав,2018-3-20,15600,1.0,ВАШ БАНК
4215,Маркелова Софья,2019-9-11,16500,1.0,ВАШ БАНК
4216,Жукова Екатерина,2022-8-2,2300,8.0,Инвестбанк
4217,Медведев Георгий,2018-12-20,45000,0.5,Стальстрой банк
4218,Смирнова Олеся,2018-3-14,26000,0.5,Стальстрой банк
4219,Фадеев Егор,2022-1-10,2600,8.0,РосТоргПром банк
4220,Юдин Михаил,2022-3-14,3900,7.0,Инвестбанк
4221,Лобанов Святослав,2018-6-14,4400,6.0,Инвестбанк
4222,Мельникова Алина,2022-8-4,11800,2.0,ВАШ БАНК
4223,Майоров Никита,2021-12-12,4200,6.0,Инвестбанк
4224,Карасев Иван,2020-12-11,1800,9.0,РосТоргПром банк
4225,Никитин Елисей,2019-8-3,10800,2.0,ВАШ БАНК
4226,Гришин Артём,2020-8-12,43000,0.5,Стальстрой банк
4227,Соколова Дарья,2018-12-19,2700,8.0,Инвестбанк
4228,Губанова Алина,2020-6-6,4100,6.0,РосТоргПром банк
4229,Зайцев Тимофей,2019-2-10,3900,7.0,Инвестбанк
4230,Давыдова София,2018-3-1,3900,7.0,Инвестбанк
4231,Федоров Роман,2020-2-25,31000,0.5,Стальстрой банк
4232,Винокурова Софья,2019-5-2,49000,0.5,Стальстрой банк
4233,Носова Анна,2021-10-28,2900,8.0,РосТоргПром банк
4234,Морозов Арсений,2020-2-4,25000,0.5,Стальстрой банк
4235,Головин Олег,2022-9-13,2800,8.0,РосТоргПром банк
4236,Короткова Альбина,2018-4-18,700,10.0,Инвестбанк
4237,Васильев Фёдор,2022-4-5,4200,6.0,Инвестбанк
4238,Степанов Леонид,2019-3-6,15900,1.0,ВАШ БАНК
4239,Львова Кристина,2018-12-27,13400,2.0,ВАШ БАНК
4240,Григорьев Антон,2018-12-20,700,10.0,РосТоргПром банк
4241,Зуев Евгений,2018-8-5,45000,0.5,Стальстрой банк
4242,Булгаков Роман,2018-10-27,3700,7.0,Инвестбанк
4243,Дементьева Дарья,2020-1-18,18300,1.0,ВАШ БАНК
4244,Антонова Василиса,2019-5-15,3500,7.0,Инвестбанк
4245,Воронин Ибрагим,2020-8-17,41000,0.5,Стальстрой банк
4246,Иванова Анна,2018-7-10,4100,6.0,Инвестбанк
4247,Макаров Матвей,2018-10-27,4100,6.0,Инвестбанк
4248,Краснов Антон,2022-4-27,41000,0.5,Стальстрой банк
4249,Гришина Светлана,2022-12-11,3000,8.0,РосТоргПром банк
4250,Поляков Павел,2022-7-25,3800,7.0,Инвестбанк
4251,Семенов Артём,2019-4-17,15900,1.0,ВАШ БАНК
4252,Артемова София,2018-11-27,10100,2.0,ВАШ БАНК
4253,Степанов Михаил,2022-12-20,3700,7.0,Инвестбанк
4254,Воронин Матвей,2020-12-15,1600,9.0,РосТоргПром банк
4255,Смирнов Марк,2020-5-18,4000,7.0,РосТоргПром банк
4256,Любимова Полина,2020-7-23,16000,1.0,ВАШ БАНК
4257,Савельева София,2022-11-21,37000,0.5,Стальстрой банк
4258,Спиридонов Георгий,2022-4-7,500,10.0,РосТоргПром банк
4259,Савельева София,2019-10-28,1900,9.0,Инвестбанк
4260,Румянцева Виктория,2020-10-23,47000,0.5,Стальстрой банк
4261,Иванова Яна,2019-9-20,16900,1.0,ВАШ БАНК
4262,Сергеев Георгий,2018-4-23,25000,0.5,Стальстрой банк
4263,Козлова Виктория,2020-5-6,15000,2.0,ВАШ БАНК
4264,Анисимов Матвей,2018-2-27,500,10.0,РосТоргПром банк
4265,Гладкова Ксения,2019-10-16,4200,6.0,РосТоргПром банк
4266,Степанов Михаил,2021-10-3,500,10.0,РосТоргПром банк
4267,Сорокина Кира,2022-9-21,2100,8.0,РосТоргПром банк
4268,Давыдов Матвей,2019-4-4,19100,1.0,ВАШ БАНК
4269,Гуляев Владимир,2018-8-23,2200,8.0,Инвестбанк
4270,Иванова Алиса,2020-5-21,12100,2.0,ВАШ БАНК
4271,Зорина Василиса,2022-8-14,15600,1.0,ВАШ БАНК
4272,Пастухов Глеб,2018-5-10,1400,9.0,РосТоргПром банк
4273,Кулакова Марьям,2022-11-11,17000,1.0,ВАШ БАНК
4274,Соколова Елизавета,2018-3-11,42000,0.5,Стальстрой банк
4275,Васильева Полина,2021-7-27,42000,0.5,Стальстрой банк
4276,Карасев Иван,2018-11-16,49000,0.5,Стальстрой банк
4277,Белов Никита,2018-5-12,3800,7.0,РосТоргПром банк
4278,Родионов Мирослав,2020-1-10,9300,3.0,ВАШ БАНК
4279,Воронин Матвей,2019-11-2,27000,0.5,Стальстрой банк
4280,Ковалев Михаил,2018-12-23,8600,3.0,ВАШ БАНК
4281,Иванов Тимур,2020-8-18,2900,8.0,Инвестбанк
4282,Киселева Мария,2020-4-13,26000,0.5,Стальстрой банк
4283,Борисов Максим,2019-10-27,37000,0.5,Стальстрой банк
4284,Макаров Матвей,2022-7-17,40000,0.5,Стальстрой банк
4285,Лебедев Иван,2021-3-7,41000,0.5,Стальстрой банк
4286,Орлов Семён,2018-5-13,1900,9.0,РосТоргПром банк
4287,Белов Артём,2022-7-12,3100,7.0,Инвестбанк
4288,Горелова Кира,2019-1-15,2100,8.0,Инвестбанк
4289,Яковлев Алексей,2019-12-4,15100,1.0,ВАШ БАНК
4290,Соловьева Алиса,2020-11-6,49000,0.5,Стальстрой банк
4291,Пастухов Глеб,2022-4-4,49000,0.5,Стальстрой банк
4292,Меркулова Марина,2022-2-20,2800,8.0,РосТоргПром банк
4293,Крючкова Алиса,2021-7-18,18600,1.0,ВАШ БАНК
4294,Иванов Алексей,2022-5-28,37000,0.5,Стальстрой банк
4295,Меркулова Марина,2020-10-7,41000,0.5,Стальстрой банк
4296,Малышев Артур,2020-11-16,1700,9.0,Инвестбанк
4297,Соколова Вероника,2018-5-26,2600,8.0,РосТоргПром банк
